Account,classification,total_trades,total_pnl,avg_pnl,win_rate,avg_trade_size_usd,total_volume_usd,avg_fee
0x6d6a4b953f202f8df5bed40692e7fd865318264a,fear,78,690.38625,8.85110576923077,0.1794871794871795,715.2125641025641,55786.58,0.1530842030897436
0x6d6a4b953f202f8df5bed40692e7fd865318264a,greed,52,367.217295,7.061871057692307,0.25,1440.4057692307692,74901.1,0.35751261923076927
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,fear,141,0.0,0.0,0.0,11569.857730496453,1631349.94,1.1569854822695036
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,extreme fear,6,0.0,0.0,0.0,6065.75,36394.5,0.5823111666666666
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,extreme greed,17,0.0,0.0,0.0,1397.385294117647,23755.55,0.13414817647058824
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,fear,198,197294.93561,996.4390687373736,0.5656565656565656,2936.8380808080806,581493.94,0.28193562121212123
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,greed,62,0.0,0.0,0.0,1478.1556451612903,91645.65,0.141902
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,extreme greed,296,16085.032831999999,54.34132713513513,0.5574324324324325,3925.8273986486483,1162044.91,0.35525154054054053
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,fear,949,44613.374395,47.010931923076924,0.8008429926238145,3013.5917386722867,2859898.56,0.2424459957850369
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,greed,918,67704.92897,73.75264593681916,0.8823529411764706,4302.287734204793,3949500.14,0.20929
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,neutral,149,14180.36306,95.17022187919463,0.9194630872483222,4066.4375167785233,605899.19,-0.028061563758389262
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,extreme fear,26,937.789615,36.06883134615385,0.6538461538461539,1975.7373076923077,51369.17,0.10955614346153847
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,greed,12,1008.518954,84.04324616666666,0.4166666666666667,6957.879166666667,83494.55,0.3079754866666667
